ham spam 
ham 42900 100
spam 84082 100
9862
200 
DHEA 0 1 
cancel 1 0 
nicely 1 0 
half 3 7 
concretion 0 2 
BBD 1 0 
shooting 0 1 
cch 0 1 
hall 4 0 
pretend 0 1 
tea 0 1 
Surf 0 2 
ted 0 1 
Sure 1 0 
cellSpacing 0 7 
francoise 0 1 
schedulers 1 0 
owsla 12 0 
pick 11 1 
tel 0 1 
shopcrt 0 2 
Approval 0 1 
ten 0 4 
sake 0 1 
angelitos 0 1 
energy 14 12 
ter 0 2 
Tutorial 0 1 
alphonso 1 0 
tes 0 1 
SDS 0 1 
$ 15 214 
% 6 669 
STOP 0 1 
& 33 36 
tex 1 0 
investment 1 4 
carriers 0 2 
scratch 0 2 
require 2 0 
SoftWindows 0 1 
WHERE 0 2 
click 2 29 
Accepted 0 1 
standards 0 1 
SEE 0 7 
cds 0 3 
Game 1 0 
cdu 0 1 
hodge 1 0 
rohm 1 0 
Mouton 0 1 
counterpoise 0 1 
amusing 1 0 
carriere 1 0 
C%A 0 1 
@ 241 29 
cec 3 0 
A 25 119 
xanim 3 0 
B 13 243 
C%E 0 1 
ced 0 1 
C 30 40 
D 27 847 
E 10 74 
BDF 0 6 
C%F 0 3 
F 21 24 
G 0 6 
H 2 3 
telutil 10 0 
roll 2 0 
I 146 190 
zenfr 0 1 
J 0 2 
turn 1 3 
K 2 1 
ceo 0 2 
L 6 4 
ccb$ 0 1 
M 10 8 
cen 0 1 
N 6 7 
O 8 10 
colspan 0 3 
result 2 8 
P 9 8 
gold 0 1 
ces 1 0 
Q 0 14 
Rdb 1 0 
R 2 29 
same 6 8 
S 1 14 
T 0 8 
U 2 16 
V 2 7 
W 3 4 
X 113 75 
pennzoil 2 0 
postings 0 1 
Y 3 0 
commission 0 1 
Z 1 4 
[ 174 124 
after 6 19 
\ 3 18 
] 178 128 
connect 1 1 
^ 0 3 
hand 0 1 
` 0 7 
tgt 0 1 
BED 0 1 
resume 1 0 
a 264 765 
ordered 1 2 
contractual 3 1 
b 23 318 
Center 0 4 
c 24 42 
d 33 44 
e 23 95 
hueur 0 1 
f 9 32 
g 53 24 
h 5 5 
FOUNTAIN 0 1 
i 120 108 
metabolize 0 1 
dfbe 0 1 
j 29 4 
Rank 0 4 
k 5 3 
l 27 13 
m 52 28 
blood 1 13 
n 2 19 
o 5 46 
the 531 816 
p 12 566 
Red 0 2 
straight 0 1 
entering 3 1 
q 0 3 
sale 6 4 
r 4 19 
s 79 92 
t 46 58 
%EA%BD%AE%BC%A 0 1 
u 1 22 
Reg 0 5 
v 7 17 
enchantment 0 2 
w 3 20 
exciting 1 1 
x 14 14 
thm 0 1 
y 0 4 
cesaimtv 0 1 
obvious 1 0 
adrial 1 0 
z 1 2 
information 32 64 
{ 5 15 
| 9 20 
} 4 16 
~ 1 6 
Add 0 1 
thu 3 1 
seadrift 2 0 
keywords 0 1 
cgi 0 16 
resolve 9 0 
OpenBSD 1 0 
SERVICES 0 4 
cgm 0 1 
PRIORITY 0 2 
ETERNAL 0 1 
good 11 24 
empty 0 1 
carwheel 1 0 
Eliminator 0 20 
COUNTRY 0 1 
PRODUCT 0 2 
til 0 1 
tin 0 4 
serious 0 2 
tim 1 0 
dolan 0 1 
BBBE 1 0 
laugh 1 0 
  0 11 
£ 1 0 
levitate 0 1 
¤ 1 0 
sans 0 5 
Approved 0 2 
chn 0 1 
© 0 1 
informative 0 2 
walker 2 0 
hlavaty 1 0 
tjd 0 1 
sand 0 1 
NEED 0 3 
culvert 0 1 
homeownernews 1 0 
chaplaincy 0 1 
cacheflow 0 1 
cia 0 1 
cic 0 1 
atlga 0 1 
areaway 0 1 
SIX 0 1 
Form 0 6 
embezzle 0 1 
provided 4 9 
inmate 0 1 
WITHIN 0 5 
harbin 0 2 
newgen 0 1 
cir 0 1 
Limited 0 2 
cit 0 1 
tripod 0 1 
provider 2 1 
postmaster 0 2 
cynergy 1 0 
provides 1 0 
root 2 0 
hard 8 5 
colouring 1 0 
hare 1 0 
BIG 0 1 
offf 0 1 
multiple 1 3 
BIT 0 2 
room 5 0 
ftworth 1 0 
better 11 16 
ranging 0 1 
populate 0 1 
ACTION 0 1 
permissible 0 1 
geneeric 0 1 
idth 0 1 
taking 2 7 
illustrator 0 2 
Regulations 0 1 
illustrates 1 0 
catalog 0 2 
corel 0 11 
Hallelujah 0 1 
thwbtd 0 1 
%FF%F 0 4 
pill 0 1 
Marvelously 0 1 
%FF%E 0 1 
actualisation 0 2 
gained 0 1 
stuntscholar 0 1 
block 1 5 
metered 1 0 
clc 0 1 
@runbox 0 1 
promotional 0 1 
flow 12 0 
order 2 50 
reminds 0 1 
cli 0 1 
Universal 0 2 
xantz 0 2 
crabmeat 0 1 
linkpaks 0 6 
buckley 1 0 
skimmed 1 0 
anal 0 2 
suppressant 0 1 
microscopic 0 1 
tnt 2 1 
coach 0 2 
women 0 3 
compressor 1 0 
%AC%BE%A 0 2 
pink 0 2 
woman 0 2 
save 0 8 
SWIFT 0 1 
trusty 0 1 
damorganjr@yahoo 0 2 
avril 1 0 
tom 1 0 
top 5 15 
too 4 13 
USAGE 0 1 
%EC%A 0 6 
have 91 182 
mongolia 0 1 
Richard 0 1 
implications 0 1 
Nonetheless 1 0 
question 3 4 
drugs 0 9 
nkewt 0 1 
herwise 0 1 
stephenson 0 1 
spirit 1 5 
ccgm 1 0 
Manage 0 2 
intellectual 1 0 
Zine 0 1 
kristen 3 0 
picture 0 6 
comparator 0 1 
disable 2 0 
regard 0 1 
warmed 0 1 
cod 5 0 
man@eire 0 1 
CELL 0 2 
thousand 0 3 
com 174 654 
All 0 17 
exmh@DeepEddy 5 0 
col 0 1 
hindering 0 2 
wned 1 0 
con 0 1 
csikos 3 0 
DECserver 1 0 
longword@esatclear 1 0 
Copyright 0 6 
Merely 0 1 
zonedubai 0 1 
Disc 0 1 
academic 0 1 
redeliveries 2 0 
owns 2 0 
pipe 4 3 
Plus 0 5 
Disk 0 1 
cpi 2 0 
Mimetrack 0 2 
%BF%BB%F 0 1 
saws 0 1 
actress 0 2 
circumstances 0 2 
Fingerprint 3 0 
including 0 11 
handicraftsman 0 1 
enquiries 0 1 
cpr 1 0 
cps 0 6 
airflow 0 1 
introducing 1 0 
LFQLl 1 0 
%EC%B 0 1 
plenty 0 1 
BOX 0 1 
tri 2 0 
%AD%EE 0 1 
Amy 0 4 
christmas 1 0 
markets 1 1 
anew 0 2 
obligation 0 1 
And 4 15 
mounting 1 0 
ADDRESS 0 9 
try 3 9 
trx 0 1 
Row 0 6 
Reserved 0 5 
%BA%EA%AE%A 0 1 
mailman 29 1 
isomorph 0 1 
SRC 0 1 
PHONE 0 14 
lauri 1 0 
romania 0 1 
ULTIMATE 0 2 
draftsman 0 1 
Any 2 0 
lrwcz 0 1 
effective 8 10 
pother 0 1 
times 2 5 
cra 12 0 
muscle 0 6 
yaher 0 1 
says 2 5 
total] 0 1 
direction 1 0 
That 2 7 
webmaster 1 3 
comments 1 2 
phobos 31 0 
SSE 12 0 
Than 0 1 
aforementioned 1 0 
Getting 0 1 
porcine 0 1 
probl 0 1 
Adenophora 0 1 
eigenspace 0 1 
netnoteinc 51 52 
Eucommiae 0 1 
Major 0 2 
activities 1 2 
chiropractic 0 1 
occurrenc 0 1 
scottthayer 0 2 
respond 0 1 
Investor 0 2 
embeddable 0 1 
csn 5 0 
tub 0 1 
caught 0 1 
JHAat 1 0 
SUCCESSFULLY 0 1 
%AF%BC%A 0 1 
TGCR 1 0 
altrade 1 0 
dudley 7 0 
pity 0 1 
Document 0 1 
concern 1 1 
Poria 0 1 
worked 1 1 
stats 0 1 
mccoy 4 0 
Then 3 3 
state 3 3 
NIEFJJMMNPJNOPIDJBFBOEEECDAA 1 0 
defined 4 0 
element 1 0 
jetliner 0 1 
lumbermen 0 1 
garza 1 0 
